Year,StateAbbr,StateDesc,CityName,GeographicLevel,DataSource,Category,UniqueID,Measure,Data_Value_Unit,DataValueTypeID,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Population2010,GeoLocation,CategoryID,MeasureId,CityFIPS,TractFIPS,Short_Question_Text
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000100,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,10.1,,,8.4,12.2,"4,584","(32.37609661250, -90.1333490224)",PREVENT,ACCESS2,2836000,28049000100,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000200,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,9.9,,,8.1,12,"5,395","(32.36047793340, -90.1295873326)",PREVENT,ACCESS2,2836000,28049000200,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000301,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,28.8,,,23.2,34.7,"2,637","(32.36652281280, -90.1634025553)",PREVENT,ACCESS2,2836000,28049000301,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000302,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,22.2,,,17.7,27.1,"4,050","(32.37007983740, -90.1547605542)",PREVENT,ACCESS2,2836000,28049000302,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000400,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,17.2,,,15.1,19.5,"3,373","(32.35418459710, -90.1641486204)",PREVENT,ACCESS2,2836000,28049000400,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000500,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,23.5,,,19.6,27.7,"6,041","(32.36078832360, -90.1824183353)",PREVENT,ACCESS2,2836000,28049000500,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000600,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,24.6,,,19.8,29.9,"3,442","(32.35001680040, -90.2038372112)",PREVENT,ACCESS2,2836000,28049000600,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000700,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,24.7,,,20.2,29.5,"5,710","(32.34221709760, -90.2571613241)",PREVENT,ACCESS2,2836000,28049000700,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000800,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,33.6,,,29.3,38.3,"4,483","(32.34017976460, -90.2268185213)",PREVENT,ACCESS2,2836000,28049000800,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049000900,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,29.6,,,24.7,34.9,"2,015","(32.34364829120, -90.2098240871)",PREVENT,ACCESS2,2836000,28049000900,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001000,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,28.4,,,23.3,33.4,"1,509","(32.33057466510, -90.2089575618)",PREVENT,ACCESS2,2836000,28049001000,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001100,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,33.4,,,29.4,37.5,"1,827","(32.32944540950, -90.1955300324)",PREVENT,ACCESS2,2836000,28049001100,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001200,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,32.3,,,27.7,36.8,"1,823","(32.34165531800, -90.1880337023)",PREVENT,ACCESS2,2836000,28049001200,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001300,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,14.3,,,12.4,16.4,"4,143","(32.33800962870, -90.1721630218)",PREVENT,ACCESS2,2836000,28049001300,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001400,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,6.8,,,5.3,8.8,"3,076","(32.34003474210, -90.1387066293)",PREVENT,ACCESS2,2836000,28049001400,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001500,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,8.5,,,6.8,11.1,"3,264","(32.31954566920, -90.1687404216)",PREVENT,ACCESS2,2836000,28049001500,Health Insurance
2015,MS,Mississippi,Jackson,Census Tract,BRFSS,Prevention,2836000-28049001600,Current lack of health insurance among adults aged 18–64 Years,%,CrdPrv,Crude prevalence,21.7,,,18.9,24.7,"3,886","(32.31490244060, -90.1794376322)",PREVENT,ACCESS2,2836000,28049001600,Health Insurance
